#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon May 24 14:52:49 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       fp_multi_map.ncd
#OUTPUT FILE:      fp_multi_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,b<11>,IOB,IO_L01P_7/VRN_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P2,b<9>,IOB,IO_L01N_7/VRP_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P3,,,VCCO_7,,,3,,,,,2.50,,,,
P4,b<14>,IOB,IO/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P5,b<8>,IOB,IO_L20P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P6,a<8>,IOB,IO_L20N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P7,res<10>,IOB,IO_L21P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P8,b<6>,IOB,IO_L21N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P9,,,GND,,,,,,,,,,,,
P10,b<7>,IOB,IO_L22P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P11,b<3>,IOB,IO_L22N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P12,b<1>,IOB,IO_L23P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P13,a<15>,IOB,IO_L23N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P14,b<0>,IOB,IO_L24P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P15,a<9>,IOB,IO_L24N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P16,,,GND,,,,,,,,,,,,
P17,a<7>,IOB,IO_L40P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P18,b<2>,IOB,IO_L40N_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P19,,,VCCO_7,,,3,,,,,2.50,,,,
P20,,DIFFM,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,,,,
P21,,DIFFS,IO_L40N_6,UNUSED,,6,,,,,,,,,
P22,,,GND,,,,,,,,,,,,
P23,,DIFFM,IO_L24P_6,UNUSED,,6,,,,,,,,,
P24,,DIFFS,IO_L24N_6/VREF_6,UNUSED,,6,,,,,,,,,
P25,,DIFFM,IO_L23P_6,UNUSED,,6,,,,,,,,,
P26,,DIFFS,IO_L23N_6,UNUSED,,6,,,,,,,,,
P27,,DIFFM,IO_L22P_6,UNUSED,,6,,,,,,,,,
P28,,DIFFS,IO_L22N_6,UNUSED,,6,,,,,,,,,
P29,,,GND,,,,,,,,,,,,
P30,,DIFFM,IO_L21P_6,UNUSED,,6,,,,,,,,,
P31,,DIFFS,IO_L21N_6,UNUSED,,6,,,,,,,,,
P32,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,,,,
P33,,DIFFS,IO_L20N_6,UNUSED,,6,,,,,,,,,
P34,,,VCCO_6,,,3,,,,,2.50,,,,
P35,,DIFFM,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,,,
P36,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,
P37,,,M1,,,,,,,,,,,,
P38,,,M0,,,,,,,,,,,,
P39,,,M2,,,,,,,,,,,,
P40,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,
P41,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,
P42,,,GND,,,,,,,,,,,,
P43,,,VCCO_5,,,2,,,,,2.50,,,,
P44,,DIFFS,IO/VREF_5,UNUSED,,5,,,,,,,,,
P45,,,GND,,,,,,,,,,,,
P46,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,
P47,,DIFFS,IO_L28N_5/D6,UNUSED,,5,,,,,,,,,
P48,,,VCCAUX,,,,,,,,2.5,,,,
P49,,,VCCINT,,,,,,,,1.2,,,,
P50,,DIFFM,IO_L31P_5/D5,UNUSED,,5,,,,,,,,,
P51,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,
P52,,DIFFM,IO_L32P_5/GCLK2,UNUSED,,5,,,,,,,,,
P53,,DIFFS,IO_L32N_5/GCLK3,UNUSED,,5,,,,,,,,,
P54,,,VCCO_5,,,2,,,,,2.50,,,,
P55,b<15>,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P56,,DIFFS,IO_L32N_4/GCLK1,UNUSED,,4,,,,,,,,,
P57,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,
P58,,DIFFS,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,,,
P59,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,
P60,,DIFFS,IO_L30N_4/D2,UNUSED,,4,,,,,,,,,
P61,,,VCCINT,,,,,,,,1.2,,,,
P62,,,VCCAUX,,,,,,,,2.5,,,,
P63,,DIFFM,IO_L27P_4/D1,UNUSED,,4,,,,,,,,,
P64,,,GND,,,,,,,,,,,,
P65,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,
P66,,,VCCO_4,,,2,,,,,2.50,,,,
P67,,,GND,,,,,,,,,,,,
P68,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,
P69,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,
P70,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P71,,,DONE,,,,,,,,,,,,
P72,,,CCLK,,,,,,,,,,,,
P73,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,
P74,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,
P75,,,VCCO_3,,,1,,,,,2.50,,,,
P76,,DIFFS,IO,UNUSED,,3,,,,,,,,,
P77,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,
P78,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,
P79,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,
P80,,DIFFS,IO_L21N_3,UNUSED,,3,,,,,,,,,
P81,,,GND,,,,,,,,,,,,
P82,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,,,,
P83,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
P84,,DIFFM,IO_L23P_3/VREF_3,UNUSED,,3,,,,,,,,,
P85,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,
P86,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
P87,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,
P88,,,GND,,,,,,,,,,,,
P89,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,
P90,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,
P91,,,VCCO_3,,,1,,,,,2.50,,,,
